walk,6425,1093,-32
walk,6410,1087,-33
walk,6388,1086,-5
walk,6376,1097,0
DoBlacksmith
walk,6376,1113,0
walk,6377,1123,0
walk,6363,1128,0
walk,6344,1132,-6
walk,6321,1137,-6
walk,6303,1142,-6
walk,6288,1146,-5
walk,6274,1148,-5
walk,6265,1151,-3
walk,6256,1155,0
walk,6250,1158,0
walk,6246,1161,0
walk,6246,1165,5
walk,6245,1172,3
walk,6245,1180,0
walk,6246,1190,0
walk,6246,1202,0
DoGuildStorage
walk,6247,1197,0
walk,6252,1195,0
walk,6258,1191,0
walk,6263,1187,0
walk,6267,1185,0
walk,6269,1184,0
walk,6272,1183,0
walk,6277,1180,0
walk,6291,1169,0
walk,6303,1159,0
walk,6315,1150,-3
walk,6333,1143,-5
walk,6351,1138,-6
walk,6369,1134,-6
walk,6388,1131,-5
walk,6404,1128,-1
walk,6425,1125,0
walk,6439,1120,0
walk,6456,1115,0
walk,6475,1108,-12
walk,6488,1100,0
DoHerbalist
walk,6491,1087,0
walk,6493,1070,0
DoGroceryTrader
walk,6480,1067,0
walk,6470,1064,-33
walk,6460,1052,-32
walk,6450,1039,-32
walk,6441,1029,-32
walk,6427,1027,-32
walk,6410,1026,-32
walk,6396,1022,-33
walk,6383,1013,0
walk,6374,1007,0
DoStable
walk,6384,1015,0
walk,6395,1025,-32
walk,6403,1035,-32
walk,6409,1046,-32
walk,6416,1058,-32
walk,6423,1071,-32
walk,6429,1082,-32
walk,6434,1096,-32
